type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,FraudProbability,NewSystemFlaggedFraud,PredictionCorrect,PredictionStatus
CASH_IN,309753.72,2611367.54,2921121.27,1017134.69,707380.96,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_IN,178767.21,2643208.16,2821975.37,1107554.86,928787.65,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,141162.6,0.0,0.0,621603.91,762766.51,0,0.00030586162510431395,0,True,TN - No fraude correctamente ignorado
CASH_OUT,246001.31,0.0,0.0,975512.81,1221514.13,0,0.00028083765542251946,0,True,TN - No fraude correctamente ignorado
PAYMENT,5684.59,0.0,0.0,0.0,0.0,0,0.00017148158812426017,0,True,TN - No fraude correctamente ignorado
CASH_OUT,109769.02,7023.0,0.0,2205242.73,2697636.33,0,0.000723715542548645,0,True,TN - No fraude correctamente ignorado
CASH_IN,190675.07,4929697.93,5120373.0,3565491.45,3374816.38,0,2.1578009194108266e-05,0,True,TN - No fraude correctamente ignorado
CASH_IN,236627.6,9564506.31,9801133.91,1598942.83,1362315.23,0,3.904525810240521e-05,0,True,TN - No fraude correctamente ignorado
CASH_OUT,74092.96,100271.0,26178.04,160200.11,234293.07,0,0.019257956750751107,0,True,TN - No fraude correctamente ignorado
CASH_OUT,144601.95,10303.0,0.0,86442.98,231044.93,0,0.0014757882012019082,0,True,TN - No fraude correctamente ignorado
CASH_IN,105460.41,5595344.9,5700805.31,298509.13,193048.72,0,3.904525810240521e-05,0,True,TN - No fraude correctamente ignorado
CASH_OUT,12034.16,258295.0,246260.84,918207.27,930241.43,0,0.0010633957620753427,0,True,TN - No fraude correctamente ignorado
CASH_OUT,20745.89,231801.0,211055.11,11298782.07,11319527.96,0,0.0018130676225878205,0,True,TN - No fraude correctamente ignorado
CASH_OUT,385551.7,27329.0,0.0,0.0,385551.7,0,0.005679925648223782,0,True,TN - No fraude correctamente ignorado
CASH_OUT,232780.79,11165.0,0.0,1185402.44,1418183.23,0,0.00046059123680422385,0,True,TN - No fraude correctamente ignorado
CASH_OUT,266564.19,0.0,0.0,2227834.53,2494398.73,0,0.0013779797054603307,0,True,TN - No fraude correctamente ignorado
CASH_OUT,216421.87,9900.0,0.0,1072271.23,1288693.11,0,0.0002911621391983307,0,True,TN - No fraude correctamente ignorado
PAYMENT,9039.26,300693.0,291653.74,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
PAYMENT,11007.2,11385.0,377.8,0.0,0.0,0,0.00022836538461538464,0,True,TN - No fraude correctamente ignorado
CASH_IN,216615.75,1982902.19,2199517.94,1192900.97,976285.22,0,0.0,0,True,TN - No fraude correctamente ignorado
PAYMENT,5818.15,47035.0,41216.85,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
DEBIT,6418.52,80177.0,73758.48,73031.78,79450.3,0,0.004592393809154839,0,True,TN - No fraude correctamente ignorado
PAYMENT,9244.2,0.0,0.0,0.0,0.0,0,0.00017148158812426017,0,True,TN - No fraude correctamente ignorado
PAYMENT,37075.93,0.0,0.0,0.0,0.0,0,0.00017148158812426017,0,True,TN - No fraude correctamente ignorado
TRANSFER,458537.76,0.0,0.0,1321111.79,1779649.55,0,0.00010726865193723983,0,True,TN - No fraude correctamente ignorado
CASH_IN,88653.89,141696.0,230349.89,223619.73,134965.84,0,0.0010763841807909607,0,True,TN - No fraude correctamente ignorado
CASH_IN,33251.8,6208736.67,6241988.48,4521003.66,4487751.85,0,3.904525810240521e-05,0,True,TN - No fraude correctamente ignorado
PAYMENT,37577.32,406531.0,368953.68,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,137626.01,0.0,0.0,292.0,137918.01,0,0.002456081624712983,0,True,TN - No fraude correctamente ignorado
CASH_OUT,26398.41,50260.0,23861.59,118952.52,145350.93,0,0.01030613899644755,0,True,TN - No fraude correctamente ignorado
CASH_IN,163334.99,5101512.85,5264847.84,341068.45,177733.46,0,3.904525810240521e-05,0,True,TN - No fraude correctamente ignorado
CASH_OUT,13197.57,15339.0,2141.43,0.0,13197.57,0,0.07245694137447178,0,True,TN - No fraude correctamente ignorado
PAYMENT,26764.57,208854.49,182089.92,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,413744.1,0.0,0.0,2583714.16,2997458.25,0,0.0006126749430910164,0,True,TN - No fraude correctamente ignorado
CASH_OUT,254011.27,9144.0,0.0,27991.7,282002.97,0,0.0007207937812603558,0,True,TN - No fraude correctamente ignorado
PAYMENT,18034.23,0.0,0.0,0.0,0.0,0,0.00017148158812426017,0,True,TN - No fraude correctamente ignorado
